2014-12-26 20:41:19 INFO  ResourceX:58 - ============================[ VOBaseMasterPage.vb -> Global.resx ]===============================
2014-12-26 20:41:20 INFO  ResourceX:102 -  (1) Resource Added: FileName = [Global.resx] value = [global_mainSubMenuReports] defaultLanguageValue = [Reports]
2014-12-26 20:41:20 INFO  ResourceX:106 -  (2) Resource Exist: FileName = [Global.resx] value = [default_labelAddInvoice] defaultLanguageValue = [Add Invoice]
2014-12-26 20:41:20 INFO  ResourceX:107 -  (2) Resource Exist: FileName = [Global.resx] value = [default_labelAddInvoice] defaultLanguageValue = [Add Invoice]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (3) Resource Added: FileName = [Global.resx] value = [global_mainSubMenuInbox] defaultLanguageValue = [inbox]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (4) Resource Added: FileName = [Global.resx] value = [global_mainSubMenuSettings] defaultLanguageValue = [Settings]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (5) Resource Added: FileName = [Global.resx] value = [global_mainSubMenuEspenses] defaultLanguageValue = [Expenses]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (6) Resource Added: FileName = [Global.resx] value = [global_mainSubMenuProducts] defaultLanguageValue = [Products]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (7) Resource Added: FileName = [Global.resx] value = [global_mainSubSubMenuNewUsers] defaultLanguageValue = [New Users]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (8) Resource Added: FileName = [Global.resx] value = [global_mainSubSubMenuDuplicates] defaultLanguageValue = [Duplicates]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (9) Resource Added: FileName = [Global.resx] value = [default_labelImportContactFile] defaultLanguageValue = [Import Contact File]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (10) Resource Added: FileName = [Global.resx] value = [global_mainMenuMoney] defaultLanguageValue = [Money]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (11) Resource Added: FileName = [Global.resx] value = [global_mainSubSubMenuCatalogs] defaultLanguageValue = [Catalogs]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (12) Resource Added: FileName = [Global.resx] value = [global_mainMenuInventory] defaultLanguageValue = [Inventory]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (13) Resource Added: FileName = [Global.resx] value = [global_mainSubMenuBilling] defaultLanguageValue = [Billing]
2014-12-26 20:41:20 INFO  ResourceX:106 -  (14) Resource Exist: FileName = [Global.resx] value = [default_labelAddExpense] defaultLanguageValue = [Add Expense]
2014-12-26 20:41:20 INFO  ResourceX:107 -  (14) Resource Exist: FileName = [Global.resx] value = [default_labelAddExpense] defaultLanguageValue = [Add Expense]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (15) Resource Added: FileName = [Global.resx] value = [global_mainSubMenuLocalization] defaultLanguageValue = [Localization]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (16) Resource Added: FileName = [Global.resx] value = [default_labelForwardToFriend] defaultLanguageValue = [Forward to a Friend]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (17) Resource Added: FileName = [Global.resx] value = [global_mainSubMenuIncome] defaultLanguageValue = [Income]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (18) Resource Added: FileName = [Global.resx] value = [global_mainSubMenuIntegrations] defaultLanguageValue = [Integrations]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (19) Resource Added: FileName = [Global.resx] value = [global_mainSubSubMenuAdminRights] defaultLanguageValue = [Admin Rights]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (20) Resource Added: FileName = [Global.resx] value = [global_mainSubMenuReferrals] defaultLanguageValue = [Referrals]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (21) Resource Added: FileName = [Global.resx] value = [global_mainSubMenuBookings] defaultLanguageValue = [Bookings]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (22) Resource Added: FileName = [Global.resx] value = [global_mainMenuSales] defaultLanguageValue = [Sales]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (23) Resource Added: FileName = [Global.resx] value = [default_labelAddBooking] defaultLanguageValue = [Add Booking]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (24) Resource Added: FileName = [Global.resx] value = [global_mainSubMenuContacts] defaultLanguageValue = [Contacts]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (25) Resource Added: FileName = [Global.resx] value = [global_mainSubMenuSupportCenter] defaultLanguageValue = [Support Center]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (26) Resource Added: FileName = [Global.resx] value = [global_mainSubSubMenuRewards] defaultLanguageValue = [Rewards]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (27) Resource Added: FileName = [Global.resx] value = [global_mainSubSubMenuManual] defaultLanguageValue = [Companies]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (28) Resource Added: FileName = [Global.resx] value = [global_mainSubMenuUsers] defaultLanguageValue = [Users]
2014-12-26 20:41:20 INFO  ResourceX:106 -  (29) Resource Exist: FileName = [Global.resx] value = [global_mainSubMenuReports] defaultLanguageValue = [Reports]
2014-12-26 20:41:20 INFO  ResourceX:107 -  (29) Resource Exist: FileName = [Global.resx] value = [global_mainSubMenuReports] defaultLanguageValue = [Reports]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (30) Resource Added: FileName = [Global.resx] value = [global_mainSubMenuJobs] defaultLanguageValue = [Jobs]
2014-12-26 20:41:20 INFO  ResourceX:106 -  (31) Resource Exist: FileName = [Global.resx] value = [global_mainSubSubMenuManual] defaultLanguageValue = [Accounts]
2014-12-26 20:41:20 INFO  ResourceX:107 -  (31) Resource Exist: FileName = [Global.resx] value = [global_mainSubSubMenuManual] defaultLanguageValue = [Accounts]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (32) Resource Added: FileName = [Global.resx] value = [global_mainSubMenuAddressBook] defaultLanguageValue = [Address Book]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (33) Resource Added: FileName = [Global.resx] value = [global_mainMenuDashboard] defaultLanguageValue = [Dashboard]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (34) Resource Added: FileName = [Global.resx] value = [global_mainSubMenuRolesRights] defaultLanguageValue = [Roles & Rights]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (35) Resource Added: FileName = [Global.resx] value = [global_mainMenuReferrals] defaultLanguageValue = [Referrals]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (36) Resource Added: FileName = [Global.resx] value = [global_mainSubMenuAdjustments] defaultLanguageValue = [Adjustments]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (37) Resource Added: FileName = [Global.resx] value = [global_mainSubMenuYourHelpTickets] defaultLanguageValue = [Your Help Tickets]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (38) Resource Added: FileName = [Global.resx] value = [global_mainSubMenuCalendar] defaultLanguageValue = [Calendar]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (39) Resource Added: FileName = [Global.resx] value = [global_mainSubMenuImportExport] defaultLanguageValue = [Import & Export]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (40) Resource Added: FileName = [Global.resx] value = [global_mainSubSubMenuSearch] defaultLanguageValue = [Search]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (41) Resource Added: FileName = [Global.resx] value = [global_mainSubMenuMigration] defaultLanguageValue = [Migration]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (42) Resource Added: FileName = [Global.resx] value = [global_mainSubSubMenuDailyTotals] defaultLanguageValue = [Daily Totals]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (43) Resource Added: FileName = [Global.resx] value = [global_mainSubSubMenuJobTypes] defaultLanguageValue = [Job Types]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (44) Resource Added: FileName = [Global.resx] value = [global_mainSubSubMenuBillingLog] defaultLanguageValue = [Billing Log]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (45) Resource Added: FileName = [Global.resx] value = [global_mainSubSubMenuJobDetails] defaultLanguageValue = [Job Details]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (46) Resource Added: FileName = [Global.resx] value = [global_mainSubMenuBrowseAndSearch] defaultLanguageValue = [Browser and Search]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (47) Resource Added: FileName = [Global.resx] value = [global_mainSubMenuMileage] defaultLanguageValue = [Mileage]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (48) Resource Added: FileName = [Global.resx] value = [global_mainSubSubMenuBatchMigration] defaultLanguageValue = [Batch Migrations]
2014-12-26 20:41:20 INFO  ResourceX:106 -  (49) Resource Exist: FileName = [Global.resx] value = [global_mainSubSubMenuManual] defaultLanguageValue = [Links]
2014-12-26 20:41:20 INFO  ResourceX:107 -  (49) Resource Exist: FileName = [Global.resx] value = [global_mainSubSubMenuManual] defaultLanguageValue = [Links]
2014-12-26 20:41:20 INFO  ResourceX:106 -  (50) Resource Exist: FileName = [Global.resx] value = [default_labelAddMileage] defaultLanguageValue = [Add Mileage]
2014-12-26 20:41:20 INFO  ResourceX:107 -  (50) Resource Exist: FileName = [Global.resx] value = [default_labelAddMileage] defaultLanguageValue = [Add Mileage]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (51) Resource Added: FileName = [Global.resx] value = [global_mainSubMenuTasks] defaultLanguageValue = [Tasks]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (52) Resource Added: FileName = [Global.resx] value = [global_mainSubMenuQuickAdd] defaultLanguageValue = [Quick Add]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (53) Resource Added: FileName = [Global.resx] value = [default_labelAddContact] defaultLanguageValue = [Add Contact]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (54) Resource Added: FileName = [Global.resx] value = [global_mainMenuDatebook] defaultLanguageValue = [Datebook]
2014-12-26 20:41:20 INFO  ResourceX:106 -  (55) Resource Exist: FileName = [Global.resx] value = [global_mainSubSubMenuManual] defaultLanguageValue = [Manual]
2014-12-26 20:41:20 INFO  ResourceX:107 -  (55) Resource Exist: FileName = [Global.resx] value = [global_mainSubSubMenuManual] defaultLanguageValue = [Manual]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (56) Resource Added: FileName = [Global.resx] value = [global_mainSubSubMenuCancellations] defaultLanguageValue = [Cancellations]
2014-12-26 20:41:20 INFO  ResourceX:106 -  (57) Resource Exist: FileName = [Global.resx] value = [default_labelAddTask] defaultLanguageValue = [Add Task]
2014-12-26 20:41:20 INFO  ResourceX:107 -  (57) Resource Exist: FileName = [Global.resx] value = [default_labelAddTask] defaultLanguageValue = [Add Task]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (58) Resource Added: FileName = [Global.resx] value = [default_po_labelImportIntouchContacts] defaultLanguageValue = [Import Intouch Contacts]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (59) Resource Added: FileName = [Global.resx] value = [global_mainSubMenuInventoryOrders] defaultLanguageValue = [Inventory Orders]
